date,time_utc,currency,event_name,impact_level,actual_value,forecast_value,previous_value
2016-08-14,4:50pm,JPY,Prelim GDP q/q,High,0.0%,0.2%,0.5%
2016-08-07,4:50pm,JPY,Current Account,Medium,1.65T,1.60T,1.41T
2016-08-22,9:00pm,JPY,BOJ Gov Kuroda Speaks,High,,,
2016-08-25,4:30pm,JPY,Tokyo Core CPI y/y,Medium,-0.4%,-0.3%,-0.4%
2016-08-27,9:25am,JPY,BOJ Gov Kuroda Speaks,High,,,
2016-08-29,4:30pm,JPY,Household Spending y/y,Medium,-0.5%,-1.3%,-2.3%
2016-08-31,4:50pm,JPY,Capital Spending q/y,Medium,3.1%,5.6%,4.2%
2016-09-04,7:30pm,JPY,BOJ Gov Kuroda Speaks,High,,,
2016-09-07,4:50pm,JPY,Current Account,Medium,1.45T,1.59T,1.65T
2016-09-07,4:50pm,JPY,Final GDP q/q,Medium,0.2%,0.0%,0.0%
2016-09-12,4:50pm,JPY,BSI Manufacturing Index,Medium,2.9,-6.5,-11.1
2016-09-20,9:18pm,JPY,BOJ Policy Rate,High,-0.10%,-0.20%,-0.10%
2016-09-20,9:18pm,JPY,Monetary Policy Statement,High,,,
2016-09-20,11:30pm,JPY,BOJ Press Conference,High,,,
2016-09-25,10:36pm,JPY,BOJ Gov Kuroda Speaks,High,,,
2016-09-28,11:35pm,JPY,BOJ Gov Kuroda Speaks,High,,,
2016-09-29,4:30pm,JPY,Household Spending y/y,Medium,-4.6%,-2.1%,-0.5%
2016-09-29,4:30pm,JPY,Tokyo Core CPI y/y,Medium,-0.5%,-0.4%,-0.4%
2016-09-29,5:00pm,JPY,BOJ Gov Kuroda Speaks,High,,,
2016-10-02,4:50pm,JPY,Tankan Manufacturing Index,Medium,6,7,6
2016-10-02,4:50pm,JPY,Tankan Non-Manufacturing Index,Medium,18,18,19
2016-10-10,4:50pm,JPY,Current Account,Medium,1.98T,1.58T,1.45T
2016-10-20,5:54pm,JPY,BOJ Gov Kuroda Speaks,High,,,
2016-10-27,4:30pm,JPY,Household Spending y/y,Medium,-2.1%,-2.6%,-4.6%
2016-10-27,4:30pm,JPY,Tokyo Core CPI y/y,Medium,-0.4%,-0.5%,-0.5%
2016-10-31,7:55pm,JPY,BOJ Outlook Report,High,,,
2016-10-31,7:55pm,JPY,BOJ Policy Rate,High,-0.10%,-0.10%,-0.10%
2016-10-31,7:55pm,JPY,Monetary Policy Statement,High,,,
2016-10-31,11:30pm,JPY,BOJ Press Conference,High,,,
2016-11-13,3:50pm,JPY,Prelim GDP q/q,High,0.5%,0.2%,0.2%
2016-11-13,5:00pm,JPY,BOJ Gov Kuroda Speaks,High,,,
2016-11-08,3:50pm,JPY,Current Account,Medium,1.48T,1.98T,1.98T
2016-11-24,3:30pm,JPY,Tokyo Core CPI y/y,Medium,-0.4%,-0.4%,-0.4%
2016-11-28,3:30pm,JPY,Household Spending y/y,Medium,-0.4%,-1.0%,-2.1%
2016-12-07,3:50pm,JPY,Current Account,Medium,1.93T,1.57T,1.48T
2016-12-07,3:50pm,JPY,Final GDP q/q,Medium,0.3%,0.6%,0.5%
2016-12-08,3:50pm,JPY,BSI Manufacturing Index,Medium,7.5,3.4,2.9
2016-12-19,6:51pm,JPY,BOJ Policy Rate,High,-0.10%,-0.10%,-0.10%
2016-12-19,6:51pm,JPY,Monetary Policy Statement,High,,,
2016-12-19,10:30pm,JPY,BOJ Press Conference,High,,,
2016-12-13,3:50pm,JPY,Tankan Manufacturing Index,Medium,10,10,6
2016-12-13,3:50pm,JPY,Tankan Non-Manufacturing Index,Medium,18,19,18
2016-12-26,3:30pm,JPY,Household Spending y/y,Medium,-1.5%,0.2%,-0.4%
2016-12-26,3:30pm,JPY,Tokyo Core CPI y/y,Medium,-0.6%,-0.4%,-0.4%
2017-01-26,3:30pm,JPY,Tokyo Core CPI y/y,Medium,-0.3%,-0.4%,-0.6%
2017-01-30,3:30pm,JPY,Household Spending y/y,Medium,-0.3%,-0.8%,-1.5%
2017-01-30,6:56pm,JPY,BOJ Outlook Report,High,,,
2017-01-30,6:56pm,JPY,BOJ Policy Rate,High,-0.10%,-0.10%,-0.10%
2017-01-30,6:56pm,JPY,Monetary Policy Statement,High,,,
2017-01-30,10:30pm,JPY,BOJ Press Conference,High,,,
2017-02-12,3:50pm,JPY,Prelim GDP q/q,High,0.2%,0.3%,0.3%
2017-02-15,4:25pm,JPY,BOJ Gov Kuroda Speaks,Medium,,,
2017-03-02,3:30pm,JPY,Household Spending y/y,Medium,-1.2%,-0.3%,-0.3%
2017-03-07,3:50pm,JPY,Final GDP q/q,Medium,0.3%,0.4%,0.2%
2017-03-09,3:50pm,JPY,BSI Manufacturing Index,Medium,1.1,8.4,7.5
2017-03-15,7:54pm,JPY,BOJ Policy Rate,High,-0.10%,-0.10%,-0.10%
2017-03-15,7:54pm,JPY,Monetary Policy Statement,Medium,,,
2017-03-15,11:30pm,JPY,BOJ Press Conference,High,,,
2017-03-30,4:30pm,JPY,Household Spending y/y,Medium,-3.8%,-1.6%,-1.2%
2017-04-02,4:50pm,JPY,Tankan Manufacturing Index,Medium,12,14,10
2017-04-02,4:50pm,JPY,Tankan Non-Manufacturing Index,Medium,20,19,18
2017-04-16,11:15pm,JPY,BOJ Gov Kuroda Speaks,High,,,
2017-04-26,8:14pm,JPY,BOJ Outlook Report,High,,,
2017-04-26,8:14pm,JPY,BOJ Policy Rate,High,-0.10%,-0.10%,-0.10%
2017-04-26,8:14pm,JPY,Monetary Policy Statement,High,,,
2017-04-26,11:30pm,JPY,BOJ Press Conference,High,,,
2017-04-27,4:30pm,JPY,Household Spending y/y,Medium,-1.3%,-0.6%,-3.8%
2017-05-17,4:50pm,JPY,Prelim GDP q/q,Medium,0.5%,0.4%,0.3%
2017-06-07,4:50pm,JPY,Final GDP q/q,Medium,0.3%,0.6%,0.5%
2017-06-15,7:54pm,JPY,BOJ Policy Rate,High,-0.10%,-0.10%,-0.10%
2017-06-15,7:54pm,JPY,Monetary Policy Statement,High,,,
2017-06-15,11:30pm,JPY,BOJ Press Conference,High,,,
2017-06-28,6:30am,JPY,BOJ Gov Kuroda Speaks,High,,,
2017-07-02,4:50pm,JPY,Tankan Manufacturing Index,Medium,17,15,12
2017-07-02,4:50pm,JPY,Tankan Non-Manufacturing Index,Medium,23,24,20
2017-07-19,8:10pm,JPY,BOJ Outlook Report,High,,,
2017-07-19,8:10pm,JPY,BOJ Policy Rate,High,-0.10%,-0.10%,-0.10%
2017-07-19,8:10pm,JPY,Monetary Policy Statement,High,,,
2017-07-19,11:30pm,JPY,BOJ Press Conference,High,,,
2017-08-13,4:50pm,JPY,Prelim GDP q/q,Medium,1.0%,0.6%,0.3%
2017-09-07,4:50pm,JPY,Final GDP q/q,Medium,0.6%,0.7%,1.0%
2017-09-20,8:15pm,JPY,BOJ Policy Rate,High,-0.10%,-0.10%,-0.10%
2017-09-20,8:15pm,JPY,Monetary Policy Statement,High,,,
2017-09-20,11:30pm,JPY,BOJ Press Conference,High,,,
2017-09-24,10:35pm,JPY,BOJ Gov Kuroda Speaks,High,,,
2017-09-27,11:35pm,JPY,BOJ Gov Kuroda Speaks,High,,,
2017-10-01,4:50pm,JPY,Tankan Manufacturing Index,Medium,22,18,17
2017-10-01,4:50pm,JPY,Tankan Non-Manufacturing Index,Medium,23,24,23
2017-10-15,6:00am,JPY,BOJ Gov Kuroda Speaks,High,,,
2017-10-21,All Day,JPY,Lower House Elections,High,,,
2017-10-22,All Day,JPY,Upper House Elections,Medium,,,
2017-10-30,8:05pm,JPY,BOJ Outlook Report,High,,,
2017-10-30,8:05pm,JPY,BOJ Policy Rate,High,-0.10%,-0.10%,-0.10%
2017-10-30,8:05pm,JPY,Monetary Policy Statement,High,,,
2017-10-30,11:30pm,JPY,BOJ Press Conference,High,,,
2017-11-05,5:00pm,JPY,BOJ Gov Kuroda Speaks,High,,,
2017-11-13,9:45am,JPY,BOJ Gov Kuroda Speaks,High,,,
2017-11-14,2:00am,JPY,BOJ Gov Kuroda Speaks,High,,,
2017-11-14,3:50pm,JPY,Prelim GDP q/q,Medium,0.3%,0.4%,0.6%
2017-12-07,3:50pm,JPY,Final GDP q/q,Medium,0.6%,0.4%,0.3%
2017-12-14,3:50pm,JPY,Tankan Manufacturing Index,Medium,25,24,22
2017-12-14,3:50pm,JPY,Tankan Non-Manufacturing Index,Medium,23,24,23
2017-12-20,6:46pm,JPY,Monetary Policy Statement,High,,,
2017-12-20,6:46pm,JPY,BOJ Policy Rate,Medium,-0.10%,-0.10%,-0.10%
2017-12-20,10:30pm,JPY,BOJ Press Conference,High,,,
2017-12-25,8:00pm,JPY,BOJ Gov Kuroda Speaks,High,,,
2018-01-22,7:14pm,JPY,BOJ Outlook Report,High,,,
