date,time_utc,currency,event_name,impact_level,actual_value,forecast_value,previous_value
2015-06-02,1:30am,GBP,Construction PMI,High,55.9,55.1,54.2
2015-06-02,1:30am,GBP,Net Lending to Individuals m/m,Medium,2.9B,2.3B,3.3B
2015-06-03,1:30am,GBP,Final Services PMI,High,56.5,59.2,59.5
2015-06-04,12:00am,GBP,Halifax HPI m/m,Medium,-0.1%,0.2%,1.6%
2015-06-04,4:00am,GBP,Official Bank Rate,High,0.50%,0.50%,0.50%
2015-06-04,4:00am,GBP,Asset Purchase Facility,Medium,375B,375B,375B
2015-06-09,1:30am,GBP,Goods Trade Balance,Medium,-8.6B,-10.0B,-10.7B
2015-06-10,1:30am,GBP,Manufacturing Production m/m,High,-0.4%,0.1%,0.4%
2015-06-10,7:00am,GBP,NIESR GDP Estimate,Medium,0.6%,,0.5%
2015-06-10,1:00pm,GBP,BOE Gov Carney Speaks,High,,,
2015-06-22,12:45am,GBP,MPC Member Cunliffe Speaks,Medium,,,
2015-06-26,7:15am,GBP,BOE Gov Carney Speaks,High,,,
2015-06-27,4:00pm,GBP,MPC Member Weale Speaks,Medium,,,
2015-06-16,1:30am,GBP,CPI y/y,High,0.1%,0.1%,-0.1%
2015-06-16,1:30am,GBP,PPI Input m/m,Medium,-0.9%,0.7%,1.4%
2015-06-16,1:30am,GBP,RPI y/y,Medium,1.0%,1.1%,0.9%
2015-06-17,1:30am,GBP,Average Earnings Index 3m/y,High,2.7%,2.5%,2.3%
2015-06-17,1:30am,GBP,Claimant Count Change,High,-6.5K,-12.5K,-7.8K
2015-06-17,1:30am,GBP,MPC Official Bank Rate Votes,High,0-0-9,0-0-9,0-0-9
2015-06-17,1:30am,GBP,MPC Asset Purchase Facility Votes,Medium,0-0-9,0-0-9,0-0-9
2015-06-17,1:30am,GBP,Unemployment Rate,Medium,5.5%,5.5%,5.5%
2015-06-17,10:30am,GBP,MPC Member Forbes Speaks,Medium,,,
2015-06-17,10:45am,GBP,BOE Gov Carney Speaks,High,,,
2015-06-18,1:30am,GBP,Retail Sales m/m,High,0.2%,0.0%,0.9%
2015-06-19,1:30am,GBP,Public Sector Net Borrowing,Medium,9.4B,10.1B,5.5B
2015-06-29,1:30am,GBP,Net Lending to Individuals m/m,Medium,3.1B,3.3B,2.9B
2015-06-30,1:30am,GBP,Current Account,High,-26.5B,-23.7B,-28.9B
2015-06-30,1:30am,GBP,Final GDP q/q,Medium,0.4%,0.4%,0.3%
2015-06-30,4:00am,GBP,MPC Member Haldane Speaks,Medium,,,
2015-07-01,1:30am,GBP,Final Manufacturing PMI,High,51.4,52.6,51.9
2015-07-01,2:30am,GBP,BOE Gov Carney Speaks,High,,,
2015-07-01,2:30am,GBP,BOE Financial Stability Report,Medium,,,
2015-07-01,2:30am,GBP,FPC Statement,Medium,,,
2015-07-02,1:30am,GBP,Construction PMI,High,58.1,56.6,55.9
2015-07-03,1:30am,GBP,Final Services PMI,High,58.5,57.4,56.5
2015-07-07,1:30am,GBP,Manufacturing Production m/m,High,-0.6%,0.1%,-0.4%
2015-07-07,7:00am,GBP,NIESR GDP Estimate,Medium,0.7%,,0.6%
2015-07-08,12:00am,GBP,Halifax HPI m/m,Medium,1.7%,0.2%,0.3%
2015-07-08,4:30am,GBP,Annual Budget Release,High,,,
2015-07-09,4:00am,GBP,Official Bank Rate,High,0.50%,0.50%,0.50%
2015-07-09,4:00am,GBP,Asset Purchase Facility,Medium,375B,375B,375B
2015-07-10,1:30am,GBP,Goods Trade Balance,Medium,-8.0B,-9.7B,-9.4B
2015-07-28,1:30am,GBP,Prelim GDP q/q,High,0.7%,0.7%,0.4%
2015-07-28,11:00am,GBP,MPC Member Cunliffe Speaks,Medium,,,
2015-07-29,1:30am,GBP,Net Lending to Individuals m/m,Medium,3.8B,3.0B,3.5B
2015-07-21,1:30am,GBP,Public Sector Net Borrowing,Medium,8.6B,8.6B,8.4B
2015-07-22,1:30am,GBP,MPC Official Bank Rate Votes,High,0-0-9,0-0-9,0-0-9
2015-07-22,1:30am,GBP,MPC Asset Purchase Facility Votes,Medium,0-0-9,0-0-9,0-0-9
2015-07-23,1:30am,GBP,Retail Sales m/m,High,-0.2%,0.4%,0.3%
2015-08-03,1:30am,GBP,Final Manufacturing PMI,High,51.9,51.6,51.4
2015-08-04,1:30am,GBP,Construction PMI,High,57.1,58.6,58.1
2015-08-05,1:30am,GBP,Final Services PMI,High,57.4,58.1,58.5
2015-08-06,12:00am,GBP,Halifax HPI m/m,Medium,-0.6%,0.5%,1.6%
2015-08-06,1:30am,GBP,Manufacturing Production m/m,High,0.2%,0.2%,-0.6%
2015-08-06,4:00am,GBP,BOE Monetary Policy Report,High,,,
2015-08-06,4:00am,GBP,Monetary Policy Summary,High,,,
2015-08-06,4:00am,GBP,MPC Official Bank Rate Votes,High,1-0-8,2-0-7,0-0-9
2015-08-06,4:00am,GBP,Official Bank Rate,High,0.50%,0.50%,0.50%
2015-08-06,4:00am,GBP,Asset Purchase Facility,Medium,375B,375B,375B
2015-08-06,4:00am,GBP,BOE Inflation Letter,Medium,,,
2015-08-06,4:00am,GBP,MPC Asset Purchase Facility Votes,Medium,0-0-9,0-0-9,0-0-9
2015-08-06,4:45am,GBP,BOE Gov Carney Speaks,High,,,
2015-08-06,7:00am,GBP,NIESR GDP Estimate,Medium,0.7%,,0.7%
2015-08-07,1:30am,GBP,Goods Trade Balance,Medium,-9.2B,-9.1B,-8.4B
2015-07-13,1:30am,GBP,BOE Credit Conditions Survey,Medium,,,
2015-07-14,1:30am,GBP,CPI y/y,High,0.0%,0.0%,0.1%
2015-07-14,1:30am,GBP,PPI Input m/m,Medium,-1.3%,-0.7%,-1.1%
2015-07-14,1:30am,GBP,RPI y/y,Medium,1.0%,1.0%,1.0%
2015-07-14,2:15am,GBP,Monetary Policy Report Hearings,High,,,
2015-07-14,4:45am,GBP,BOE Gov Carney Speaks,High,,,
2015-07-14,10:00am,GBP,MPC Member Miles Speaks,Medium,,,
2015-07-15,1:30am,GBP,Average Earnings Index 3m/y,High,3.2%,3.3%,2.7%
2015-07-15,1:30am,GBP,Claimant Count Change,High,7.0K,-8.9K,-1.1K
2015-07-15,1:30am,GBP,Unemployment Rate,Medium,5.6%,5.5%,5.5%
2015-07-16,11:00am,GBP,BOE Gov Carney Speaks,Medium,,,
2015-08-12,1:30am,GBP,Average Earnings Index 3m/y,High,2.4%,2.8%,3.2%
2015-08-12,1:30am,GBP,Claimant Count Change,High,-4.9K,1.4K,0.2K
2015-08-12,1:30am,GBP,Unemployment Rate,Medium,5.6%,5.6%,5.6%
2015-08-18,1:30am,GBP,CPI y/y,High,0.1%,0.0%,0.0%
2015-08-18,1:30am,GBP,PPI Input m/m,Medium,-0.9%,-1.8%,-1.8%
2015-08-18,1:30am,GBP,RPI y/y,Medium,1.0%,1.0%,1.0%
2015-08-20,1:30am,GBP,Retail Sales m/m,High,0.1%,0.4%,-0.1%
2015-08-21,1:30am,GBP,Public Sector Net Borrowing,Medium,-2.1B,-2.3B,8.6B
2015-08-28,1:30am,GBP,Second Estimate GDP q/q,High,0.7%,0.7%,0.7%
2015-08-28,1:30am,GBP,Prelim Business Investment q/q,Medium,2.9%,1.6%,2.0%
2015-08-29,9:25am,GBP,BOE Gov Carney Speaks,High,,,
2015-09-01,1:30am,GBP,Final Manufacturing PMI,High,51.5,51.9,51.9
2015-09-01,1:30am,GBP,Net Lending to Individuals m/m,Medium,3.9B,3.9B,3.9B
2015-09-02,1:30am,GBP,Construction PMI,High,57.3,57.6,57.1
2015-09-03,1:30am,GBP,Final Services PMI,High,55.6,57.6,57.4
2015-09-09,1:30am,GBP,Manufacturing Production m/m,High,-0.8%,0.2%,0.2%
2015-09-09,1:30am,GBP,Goods Trade Balance,Medium,-11.1B,-9.5B,-8.5B
2015-09-09,7:00am,GBP,NIESR GDP Estimate,Medium,0.5%,,0.6%
