datetime_utc,actual_return,tech_signal,ml_signal,sg_signal
2024-05-02,-8.696932457233537e-05,-1,1,1.0
2024-05-03,0.00978239943094232,-1,1,1.0
2024-05-06,-0.002760589407145369,-1,-1,1.0
2024-05-07,-0.0006912606128823438,-1,-1,1.0
2024-05-08,0.007964395898361993,-1,1,0.0
2024-05-09,0.01498089474872309,-1,1,0.0
2024-05-10,-0.013267171767020015,-1,-1,0.0
2024-05-13,0.007378135479851928,-1,1,0.0
2024-05-14,0.014888214910604233,-1,1,0.0
2024-05-15,-0.0036487767790969396,1,1,0.0
2024-05-16,0.013438686241467436,1,1,0.0
2024-05-17,0.008955695038778591,1,-1,0.0
2024-05-20,-0.005025116242057949,1,-1,1.0
2024-05-21,-0.01351119128257647,1,-1,0.0
2024-05-22,-0.02294667031813439,1,-1,0.0
2024-05-23,-0.0010712373814988035,-1,1,0.0
2024-05-24,0.0096849750810076,-1,-1,0.0
2024-05-28,-0.0063464816760843545,-1,1,0.0
2024-05-29,0.001110289464388048,-1,1,0.0
2024-05-30,-0.00857307357068379,-1,1,0.0
2024-05-31,0.010151150585457774,-1,1,0.0
2024-06-03,-0.009032443941432378,-1,1,0.0
2024-06-04,0.012223460620860391,-1,-1,0.0
2024-06-05,0.00685801971176186,-1,1,0.0
2024-06-06,-0.027849130615993235,-1,1,0.0
2024-06-07,0.0010839169709689002,-1,1,0.0
2024-06-10,-8.664897474244984e-05,-1,1,0.0
2024-06-11,0.012275377571110555,-1,1,0.0
2024-06-12,-0.015444010517410593,-1,1,0.0
2024-06-13,0.013472849167638714,-1,1,0.0
2024-06-14,-0.008182999621581656,-1,1,0.0
2024-06-17,0.007753980763100305,-1,1,0.0
2024-06-18,0.009991179448078678,-1,1,0.0
2024-06-20,-0.016016849994939065,-1,1,0.0
2024-06-21,0.005854053366742159,-1,1,0.0
2024-06-24,-0.0057676319065113404,-1,1,0.0
2024-06-25,-0.0075394205654809275,-1,1,0.0
2024-06-26,0.010943747042885628,-1,-1,0.0
2024-06-27,0.0013756724603899051,-1,-1,0.0
2024-06-28,-4.2898852745440194e-05,-1,1,0.0
2024-07-01,-0.0019782819678747557,1,1,0.0
2024-07-02,0.01571743658704651,1,1,0.0
2024-07-03,0.012088663472560882,1,-1,0.0
2024-07-05,-0.01403992502750996,1,-1,1.0
2024-07-08,0.002078403578812869,1,-1,1.0
2024-07-09,0.00511374163037859,1,-1,1.0
2024-07-10,0.017881513074975274,1,-1,1.0
2024-07-11,-0.0004141644291962591,1,-1,1.0
2024-07-12,0.0036800068503831792,1,-1,1.0
2024-07-15,0.016171314917783012,1,-1,1.0
2024-07-16,-0.00309113301982428,1,-1,1.0
2024-07-17,-0.0012228428297097356,1,-1,1.0
2024-07-18,-0.02323049125293214,1,-1,1.0
2024-07-19,-0.0014621412526544951,1,-1,1.0
2024-07-22,0.005253774082549602,1,-1,1.0
2024-07-23,0.0036115155414233003,1,-1,1.0
2024-07-24,-0.025771655108934748,1,-1,1.0
2024-07-25,0.011877017079959726,-1,1,1.0
2024-07-26,-0.0011350772219737724,-1,-1,0.0
2024-07-29,0.011584493096314897,-1,-1,0.0
2024-07-30,0.008899986305409351,-1,-1,0.0
2024-07-31,0.0034968666714193194,-1,1,0.0
2024-08-01,-0.0038266341350136172,-1,-1,0.0
2024-08-02,-0.00994332279261066,1,-1,0.0
2024-08-05,-0.005260032745343863,-1,-1,0.0
2024-08-06,0.0005857822224360302,-1,-1,0.0
2024-08-07,0.013173648862206806,-1,-1,0.0
2024-08-08,0.0040789238864625725,-1,-1,0.0
2024-08-09,0.012381322610815695,-1,-1,0.0
2024-08-12,0.0017447607257966857,1,-1,0.0
2024-08-13,-0.011129137775200023,1,-1,0.0
2024-08-14,0.005600503269123787,1,1,0.0
2024-08-15,0.01837804343675201,1,1,0.0
2024-08-16,0.0012798782157230325,1,-1,0.0
2024-08-19,0.0037900744796478744,1,-1,0.0
2024-08-20,-0.0011555060403106994,1,-1,0.0
2024-08-21,-0.011830186756921601,1,1,0.0
2024-08-22,0.011830186756921704,1,-1,0.0
2024-08-23,0.003700706198852698,1,1,1.0
2024-08-26,-0.0006754281156969496,1,1,0.0
2024-08-27,-0.005979686942712076,1,-1,0.0
2024-08-28,0.009827580801596993,1,-1,1.0
2024-08-29,-0.012710561536922458,1,1,1.0
2024-08-30,-0.0015651613535240963,1,-1,0.0
2024-09-03,0.0014046919562063706,-1,-1,1.0
2024-09-04,0.0071931259247034075,-1,-1,0.0
2024-09-05,-0.007152981683501989,-1,1,0.0
2024-09-06,0.0033231463116611603,-1,-1,0.0
2024-09-09,0.004188195346663044,-1,1,1.0
2024-09-10,-7.959205722123827e-05,-1,1,1.0
2024-09-11,0.015444721969289848,-1,1,1.0
2024-09-12,0.011729349341314652,-1,1,1.0
2024-09-13,-0.0003487790851909712,1,1,1.0
2024-09-16,-0.00625883189495714,1,1,1.0
2024-09-17,0.00249266043134922,1,1,1.0
2024-09-18,0.006707160271705417,1,-1,1.0
2024-09-19,0.01225073519220459,1,1,1.0
2024-09-20,0.002516049581020544,-1,-1,1.0
2024-09-23,0.009360187860914403,-1,-1,1.0
2024-09-24,0.003012958044237874,-1,1,1.0
2024-09-25,0.004015674633472966,-1,1,1.0
2024-09-26,-0.00963458348443632,-1,1,1.0
2024-09-27,-0.0031058092325682647,1,-1,1.0
2024-09-30,0.01176615388576509,1,-1,1.0
2024-10-01,-0.007602005078805537,-1,1,1.0
2024-10-02,0.003770601213994833,1,-1,1.0
2024-10-03,-0.004261843753354774,1,-1,1.0
2024-10-04,-0.00037802895454220627,-1,1,1.0
2024-10-07,-0.011331369029670978,-1,-1,1.0
2024-10-08,-0.0034476188142327953,-1,1,1.0
2024-10-09,0.0055868577505378105,-1,1,1.0
2024-10-10,0.014020160169731887,-1,1,1.0
2024-10-11,-0.0036943716604866234,-1,1,0.0
2024-10-14,0.0051231384715043505,-1,1,0.0
2024-10-15,0.004723215245810717,-1,-1,0.0
2024-10-16,0.006337393065017404,-1,1,1.0
2024-10-17,0.00840012761358353,-1,-1,1.0
2024-10-18,0.0034579737223619676,-1,-1,1.0
2024-10-21,0.007718602631013913,-1,1,1.0
2024-10-22,-0.01091867720094922,-1,1,1.0
2024-10-23,0.007523937915991553,1,1,1.0
2024-10-24,0.002191461563702766,1,-1,1.0
2024-10-25,0.00072942126259476,1,1,1.0
