date,gld_holdings,cot_net_long,us_real_yield,m2_money_supply
2016-12-29,834222537.92,,0.55,
2016-12-30,972646262.42,,0.5,
2017-01-01,,,,13315.7
2017-01-02,,,,
2017-01-03,831551887.19,,0.47,
2017-01-04,543668528.99,,0.47,
2017-01-05,1081533561.59,,0.42,
2017-01-06,858921675.0,,0.46,
2017-01-09,639357171.61,,0.43,
2017-01-10,689468219.3,,0.43,
2017-01-11,1125772450.0,,0.39,
2017-01-12,963371073.97,,0.38,
2017-01-13,829335908.35,,0.41,
2017-01-16,,,,
2017-01-17,1059147026.05,,0.36,
2017-01-18,746436764.85,,0.42,
2017-01-19,738774468.39,,0.43,
2017-01-20,1410685612.42,,0.44,
2017-01-23,737941254.83,,0.39,
2017-01-24,668427656.53,,0.41,
2017-01-25,765658197.96,,0.45,
2017-01-26,610528041.52,,0.43,
2017-01-27,761132019.67,,0.41,
2017-01-30,876178575.38,,0.42,
2017-01-31,1204250576.81,,0.4,
2017-02-01,798670058.84,,0.43,13394.8
2017-02-02,832831653.67,,0.43,
2017-02-03,1098067189.03,,0.44,
2017-02-06,1006076033.91,,0.4,
2017-02-07,1012622652.11,,0.4,
2017-02-08,1138571569.52,,0.38,
2017-02-09,959103795.49,,0.41,
2017-02-10,1066878946.16,,0.4,
2017-02-13,859052342.45,,0.43,
2017-02-14,810067656.11,,0.46,
2017-02-15,832532558.37,,0.45,
2017-02-16,753196907.68,,0.43,
2017-02-17,863547610.24,,0.41,
2017-02-20,,,,
2017-02-21,726152475.0,,0.4,
2017-02-22,714204474.18,,0.38,
2017-02-23,894821320.37,,0.35,
2017-02-24,1174137270.07,,0.31,
2017-02-27,1103468145.44,,0.35,
2017-02-28,1040615623.3,,0.34,
2017-03-01,1033393154.81,,0.43,13463.6
2017-03-02,1291769174.12,,0.48,
2017-03-03,1253338180.78,,0.45,
2017-03-06,570002125.96,,0.48,
2017-03-07,792664605.64,,0.49,
2017-03-08,876860735.39,,0.56,
2017-03-09,733855730.83,,0.6,
2017-03-10,909672249.68,,0.57,
2017-03-13,666341063.59,,0.61,
2017-03-14,605041430.56,,0.61,
2017-03-15,1572176625.0,,0.5,
2017-03-16,1088157091.29,,0.51,
2017-03-17,547864160.0,,0.49,
2017-03-20,470063510.55,,0.47,
2017-03-21,1134178874.76,,0.45,
2017-03-22,865961755.34,,0.43,
2017-03-23,735884525.65,,0.46,
2017-03-24,817709260.2,,0.42,
2017-03-27,1018347777.6,,0.41,
2017-03-28,846707718.51,,0.45,
2017-03-29,586029638.99,,0.41,
2017-03-30,816803270.42,,0.46,
2017-03-31,1011589386.4,,0.43,
2017-04-01,,,,13521.7
2017-04-03,728715285.68,,0.39,
2017-04-04,560694838.87,,0.4,
2017-04-05,969639742.26,,0.37,
2017-04-06,552220531.41,,0.39,
2017-04-07,1475462394.69,,0.44,
2017-04-10,552347197.77,,0.44,
2017-04-11,1509457837.41,,0.41,
2017-04-12,1159495018.1,,0.38,
2017-04-13,1212832744.91,,0.32,
2017-04-14,,,,
2017-04-17,1035323885.91,,0.38,
2017-04-18,1339192430.67,,0.33,
2017-04-19,1031381799.44,,0.36,
2017-04-20,1437579097.21,,0.39,
2017-04-21,1909014441.89,,0.4,
2017-04-24,1342791365.11,,0.41,
2017-04-25,1243962200.0,,0.44,
2017-04-26,1179253356.26,,0.42,
2017-04-27,995264124.95,,0.39,
2017-04-28,1103137303.34,,0.37,
2017-05-01,1116736488.91,,0.41,13568.9
2017-05-02,586380727.48,,0.41,
2017-05-03,1275493614.29,,0.46,
2017-05-04,1449001862.36,,0.5,
2017-05-05,833953687.23,,0.5,
2017-05-08,634933200.0,,0.53,
2017-05-09,789290885.76,,0.56,
2017-05-10,497869623.93,,0.56,
2017-05-11,730967600.0,,0.51,
2017-05-12,634912644.95,,0.49,
2017-05-15,587995940.94,,0.52,
2017-05-16,581520427.54,,0.51,
2017-05-17,1669501263.76,,0.44,
2017-05-18,1228626065.75,,0.43,
2017-05-19,810403630.36,,0.41,
2017-05-22,615386757.83,,0.43,
2017-05-23,989505350.93,,0.46,
2017-05-24,840260254.29,,0.45,
2017-05-25,490477361.78,,0.45,
2017-05-26,818659470.22,,0.44,
2017-05-29,,,,
2017-05-30,541531047.25,,0.4,
2017-05-31,1249707662.46,,0.4,
2017-06-01,1050565810.62,,0.4,13580.5
2017-06-02,883873645.44,,0.36,
2017-06-05,484388029.36,,0.39,
2017-06-06,1329295333.52,,0.37,
2017-06-07,1106850012.41,,0.4,
2017-06-08,993856182.47,,0.41,
2017-06-09,850373544.46,,0.43,
2017-06-12,593061867.01,,0.46,
2017-06-13,456209580.71,,0.46,
2017-06-14,2531173529.55,,0.44,
2017-06-15,810982241.93,,0.49,
2017-06-16,768036414.43,,0.49,
2017-06-19,803784412.07,,0.52,
2017-06-20,545684333.41,,0.5,
2017-06-21,559852908.14,,0.5,
2017-06-22,691151137.36,,0.46,
2017-06-23,1105754600.83,,0.45,
2017-06-26,780394828.02,,0.43,
2017-06-27,684262418.94,,0.5,
2017-06-28,501769896.44,,0.49,
2017-06-29,911679261.65,,0.55,
2017-06-30,858312227.59,,0.58,
2017-07-01,,,,13643.1
2017-07-03,1409913005.52,,0.6,
2017-07-04,,,,
2017-07-05,841658891.75,,0.58,
2017-07-06,517522803.42,,0.61,
2017-07-07,1285786994.38,,0.66,
2017-07-10,573989829.07,,0.66,
2017-07-11,767474016.23,,0.62,
2017-07-12,540050026.32,,0.57,
2017-07-13,480525596.73,,0.58,
2017-07-14,675888094.57,,0.57,
2017-07-17,606483136.73,,0.54,
2017-07-18,845502250.37,,0.51,
2017-07-19,378458213.87,,0.51,
2017-07-20,658785972.1,,0.5,
2017-07-21,1208807455.65,,0.48,
2017-07-24,435994524.08,,0.48,
2017-07-25,737660748.64,,0.52,
2017-07-26,1022324628.58,,0.49,
2017-07-27,764883113.85,,0.49,
2017-07-28,892333602.05,,0.47,
2017-07-31,476310450.0,,0.48,
2017-08-01,888599326.24,,0.47,13697.7
2017-08-02,715814129.07,,0.48,
2017-08-03,515594588.34,,0.46,
2017-08-04,1034350333.19,,0.47,
2017-08-07,359737057.43,,0.46,
2017-08-08,866252196.41,,0.46,
2017-08-09,1114377899.57,,0.42,
2017-08-10,1199845550.01,,0.4,
2017-08-11,984714412.34,,0.4,
2017-08-14,735823764.95,,0.45,
2017-08-15,814352696.6,,0.49,
2017-08-16,1007535873.71,,0.45,
2017-08-17,1002433644.52,,0.42,
2017-08-18,1669908701.67,,0.43,
2017-08-21,681281183.86,,0.43,
2017-08-22,793619513.05,,0.45,
2017-08-23,618060518.77,,0.42,
2017-08-24,512810889.84,,0.44,
2017-08-25,1521755041.51,,0.42,
2017-08-28,1443698255.27,,0.41,
2017-08-29,1226967811.94,,0.39,
2017-08-30,786999827.86,,0.39,
2017-08-31,1481593406.41,,0.36,
2017-09-01,1458186415.76,,0.37,13745.1
2017-09-04,,,,
2017-09-05,1505697715.18,,0.3,
2017-09-06,1275619808.44,,0.32,
2017-09-07,1309450210.9,,0.26,
2017-09-08,1154289411.01,,0.25,
2017-09-11,1151685676.28,,0.31,
2017-09-12,1056649419.62,,0.33,
